Key,Value,LowerBounds,UpperBounds
aC,0.6016,0,1
kR1,50,0,500
kF2,0.5,0,1
kR2,2.5,0,100
kF3,5,0,10
kR3,0.01140708,0,100
kHYRDO,1.4,0,10
kREC,0.8,0,100
G0,4,0,10
iDARK,5040.000003,3040,6000
kg,20,0,50
C_m,0.02,0,500
gLEAK,0.35,0,20
ELEAK,77,0,100
gH,3,0,10
eH,32,0,50
gKV,2,0,10
eK,74,0,100
gCa,0.7,0,10
eCa,12.5,0,20
_Ca_0,1600,,
gKCa,5,0,10
gCl,2,0,5
eCl,20,0,40
F,96485.332,0,1.00E+06
Dca,6.00E-08,0,1
S1,3.14E-08,0,1
DELTA,3.00E-05,0,1
V1,3.81E-13,0,1
V2,5.24E-13,,
Lb1,0.40,0,1
Bl,500.00,0,800
Lb2,0.20,0,1
Hb1,100.00,0,500
Bh,300.00,0,500
Hb2,90.00,0,100
J_ex,20.00,0,50
Cae,0.01,0,1
K_ex,2.30,0,10
J_ex2,20.00,0,50
K_ex2,0.50,0,1
l2,9.485269073,0,10
h2,0.028162032,0,10
k1,792.0000097,0,800
k2,5,0,50
k3,2.455921208,0,10
k4,0.000897456,0,0.01
k5,0.01,0,0.1
k6,0.066718399,0,0.1
k7,0.010059358,0,1
l3,87.72863739,50,110
h3,0.006859996,0.0001,0.01
tB,149.9999803,50,500
tM,841.4981132,50,1000
tC,35903.10138,20000,40000
tO,80.05777856,0,500
