Key,Value,Description
C_m,25.0,Membrane capacitance (pF)
g_L,2.0,Leak conductance (nS)
g_Ca,5.0,Ca conductance (nS)
g_K,10.0,K conductance (nS)
E_L,-65.0,Leak reversal potential (mV)
E_Ca,120.0,Ca reversal potential (mV)
E_K,-84.0,K reversal potential (mV)
V1,-1.2,Ca activation midpoint (mV)
V2,18.0,Ca activation slope (mV)
V3,2.0,K activation midpoint (mV)
V4,17.0,K activation slope (mV)
phi,0.04,Recovery time scale
alpha_NT,0.0,Max neurotransmitter release (none)
V_NT_half,0.0,Release half-activation (mV)
V_NT_slope,0.0,Release slope (mV)
tau_NT,0.0,NT clearance time (ms)
