Key,Value,LowerBounds,UpperBounds,Description
aC,0.001,0,1,0.001
kR1,400,0,500,400
kF1,10,0,1,10
kR2,100,0,100,100
kR3,11.48,0,100,11.48
kHYDRO,9000,0,10,9000
kREC,0.58,0,100,0.58
G0,2,0,10,2
iDARK,5040.000003,3040,6000,5040.000003
kg,10,0,50,10
R_tot,3.0,0,10,Total R* concentration (mM)
T_tot,0.3,0,1,Total T* concentration (mM)
P_tot,0.021,0,1,Total P* concentration (mM)
lambda,0.67,0,1,Quantum efficiency
C_m,0.02,0,500,0.02
gLEAK,0.5,0,20,Leak conductance (nS)
ELEAK,77,0,100,Leak reversal potential (mV)
gH,3,0,10,3
eH,32,0,50,32
gKV,2,0,10,Voltage-gated K+ conductance (nS)
eK,74,0,100,K+ reversal potential (mV)
gCa,0.7,0,10,Calcium conductance (nS)
eCa,12.5,0,20,Calcium reversal potential (mV)
_Ca_0,1600,0,1700,Resting calcium concentration (µM)
gKCa,5,0,10,Calcium-activated K+ conductance (nS)
gCl,2,0,5,Chloride conductance (nS)
eCl,20,0,40,Chloride reversal potential (mV)
F,96485.332,0,1.00E+06,Faraday constant (C/mol)
DCa,6.00E-08,0,1,Calcium diffusion coefficient (m²/s)
S1,3.14E-08,0,1,S1 (m²)
DELTA,3.00E-05,0,1,DELTA (m²)
V1,3.81E-13,0,1,V1 (m²)
V2,5.24E-13,,,V2 (m²)
Lb1,0.4,0,1,Lb1 (m²)
Bl,500,0,800,Bl (m²)
Lb2,0.2,0,1,Lb2 (m²)
Hb1,100,0,500,Hb1 (m²)
Bh,300,0,500,Bh (m²)
Hb2,90,0,100,Hb2 (m²)
J_ex,20,0,50,J_ex (m²)
Cae,0.01,0,1,0.01
K_ex,2.3,0,10,K_ex (m²)
J_ex2,20,0,50,J_ex2 (m²)
K_ex2,0.5,0,1,K_ex2 (m²)
l2,9.485269073,0,10,l2 (m²)
h2,0.028162032,0,10,h2 (m²)
k1,792.0000097,0,800,k1 (m²)
k2,5,0,50,k2 (m²)
k3,2.455921208,0,10,k3 (m²)
k4,0.000897456,0,0.01,k4 (m²)
k5,0.01,0,0.1,k5 (m²)
k6,0.066718399,0,0.1,k6 (m²)
k7,0.010059358,0,1,k7 (m²)
l3,87.72863739,50,110,l3 (m²)
h3,0.006859996,0.0001,0.01,h3 (m²)
tB,149.9999803,50,500,tB (m²)
tM,841.4981132,50,1000,tM (m²)
tC,35903.10138,20000,40000,tC (m²)
tO,80.05777856,0,500,tO (m²)
alpha_Glu,1.0,0,10,alpha_Glu (µM)
V_Glu_half,-40.0,-50,-30,V_Glu_half (mV)
V_Glu_slope,5.0,1,10,V_Glu_slope (mV)
tau_Glu,10.0,1,50,tau_Glu (ms)
